soil_type,sowing_month,harvest_month,water_source,soil_ph,temperature,nitrogen_N,phosphorus_P,potassium_K,seed_variety
Alluvial soil,Jun,Sep,irrigated,5.6,34.9,88.1,45.3,52.9,IRRI-6
Loamy soil,Jul,Oct,rainfed,7.8,33.7,82.9,41.3,40.1,IRRI-6
Clay soil,Jun,Sep,irrigated,7.9,31.7,89.1,59.1,46.7,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.6,29.1,86.2,41.4,55.4,1509 Rice
Loamy soil,Jun,Sep,irrigated,7.6,35.4,96.6,47.4,57.5,1509 Rice
Clay soil,Jul,Oct,rainfed,5.0,28.2,90.0,43.5,59.9,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.7,31.1,81.1,54.5,54.5,1509 Rice
Loamy soil,Jul,Oct,rainfed,6.6,29.1,90.8,55.7,41.9,Super Basmati
Clay soil,Jun,Sep,irrigated,5.4,25.1,85.3,53.5,42.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.0,39.5,90.3,53.6,57.2,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.7,36.7,93.2,57.2,47.5,Kainat-1121
Clay soil,Jul,Oct,rainfed,6.0,20.2,81.9,53.7,57.8,Basmati
Alluvial soil,Jun,Sep,irrigated,7.6,35.7,91.1,50.9,44.2,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.0,29.6,96.2,41.1,44.8,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.8,38.3,94.8,43.8,54.9,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.5,25.3,94.4,52.2,40.8,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.5,38.3,92.3,54.0,56.2,1509 Rice
Clay soil,Jul,Oct,rainfed,7.3,32.1,82.2,55.2,41.3,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.3,39.5,83.0,58.2,51.8,Super Basmati
Loamy soil,Jul,Oct,rainfed,6.8,25.6,96.4,51.4,43.3,Kainat-1121
Clay soil,Jun,Sep,irrigated,5.4,31.4,90.3,40.2,46.9,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.6,32.5,92.2,56.3,46.4,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.8,27.2,97.9,47.5,40.1,Basmati
Clay soil,Jul,Oct,rainfed,5.6,39.3,80.4,53.1,42.3,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.1,26.0,89.6,46.3,41.4,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.4,22.0,98.6,59.2,42.8,Basmati
Clay soil,Jun,Sep,irrigated,6.3,25.4,91.4,55.5,48.9,Super Basmati
Alluvial soil,Jul,Oct,rainfed,7.4,26.3,82.6,42.0,51.5,Kainat-1121
Loamy soil,Jun,Sep,irrigated,6.7,27.1,81.2,43.2,48.4,Basmati
Clay soil,Jul,Oct,rainfed,6.8,34.0,91.5,52.4,53.2,1509 Rice
Alluvial soil,Jun,Sep,irrigated,5.5,36.4,87.4,42.6,46.1,IRRI-6
Loamy soil,Jul,Oct,rainfed,5.8,31.4,82.9,57.1,58.8,1509 Rice
Clay soil,Jun,Sep,irrigated,7.1,26.0,84.5,59.9,47.5,Super Basmati
Alluvial soil,Jul,Oct,rainfed,7.0,31.6,95.2,41.9,57.9,1509 Rice
Loamy soil,Jun,Sep,irrigated,7.9,23.1,81.7,46.5,49.9,Basmati
Clay soil,Jul,Oct,rainfed,5.1,25.4,93.0,52.6,56.8,Super Basmati
Alluvial soil,Jun,Sep,irrigated,5.3,30.5,90.4,55.2,57.4,1509 Rice
Loamy soil,Jul,Oct,rainfed,5.5,39.8,96.4,52.3,44.4,IRRI-6
Clay soil,Jun,Sep,irrigated,5.4,38.8,84.7,46.7,51.5,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.4,39.9,95.6,45.7,51.4,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.2,35.2,81.7,53.3,54.8,1509 Rice
Clay soil,Jul,Oct,rainfed,5.4,33.8,84.0,43.9,41.6,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.6,35.8,89.4,57.1,49.8,IRRI-6
Loamy soil,Jul,Oct,rainfed,5.2,28.3,89.5,50.4,51.6,1509 Rice
Clay soil,Jun,Sep,irrigated,7.8,29.6,87.0,54.6,40.1,Super Basmati
Alluvial soil,Jul,Oct,rainfed,5.0,20.5,97.6,40.9,59.4,Kainat-1121
Loamy soil,Jun,Sep,irrigated,6.1,37.9,82.2,51.9,52.1,IRRI-6
Clay soil,Jul,Oct,rainfed,6.3,39.0,84.9,44.4,48.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.1,33.4,91.3,48.9,57.5,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.8,34.1,98.1,56.9,50.7,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.0,33.4,86.6,48.6,48.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.4,27.0,99.1,51.2,44.9,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.8,31.8,85.9,53.6,53.6,1509 Rice
Clay soil,Jul,Oct,rainfed,6.1,39.8,90.9,57.9,59.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.4,27.1,81.5,54.8,41.7,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.8,39.0,88.5,58.7,50.7,Super Basmati
Clay soil,Jun,Sep,irrigated,6.5,30.8,91.8,45.6,54.3,1509 Rice
Alluvial soil,Jul,Oct,rainfed,7.9,25.7,88.2,42.7,52.5,Super Basmati
Loamy soil,Jun,Sep,irrigated,5.1,31.3,88.4,55.6,55.3,1509 Rice
Clay soil,Jul,Oct,rainfed,5.0,20.4,90.5,51.1,58.2,1509 Rice
Alluvial soil,Jun,Sep,irrigated,7.4,30.0,95.7,57.1,42.2,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.8,21.1,83.6,49.6,55.9,1509 Rice
Clay soil,Jun,Sep,irrigated,7.1,26.2,99.0,44.2,42.7,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,5.7,22.8,98.6,43.3,41.1,Basmati
Loamy soil,Jun,Sep,irrigated,7.1,24.7,95.2,54.2,44.1,Kainat-1121
Clay soil,Jul,Oct,rainfed,7.7,21.0,98.8,51.7,57.7,1509 Rice
Alluvial soil,Jun,Sep,irrigated,7.2,33.8,98.7,59.1,50.0,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.7,26.2,95.1,45.1,46.9,Basmati
Clay soil,Jun,Sep,irrigated,6.3,39.2,90.7,47.1,48.2,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.2,38.8,84.2,44.3,51.5,IRRI-6
Loamy soil,Jun,Sep,irrigated,5.6,38.5,92.3,41.0,47.7,IRRI-6
Clay soil,Jul,Oct,rainfed,6.2,22.0,94.9,43.7,45.2,Basmati
Alluvial soil,Jun,Sep,irrigated,5.2,28.0,90.5,45.6,56.8,1509 Rice
Loamy soil,Jul,Oct,rainfed,5.6,25.2,86.3,58.2,43.1,Basmati
Clay soil,Jun,Sep,irrigated,6.9,22.8,83.7,54.4,54.2,Super Basmati
Alluvial soil,Jul,Oct,rainfed,7.2,33.1,100.0,46.1,54.1,1509 Rice
Loamy soil,Jun,Sep,irrigated,5.0,28.6,99.4,40.1,54.7,1509 Rice
Clay soil,Jul,Oct,rainfed,5.2,32.1,93.4,46.7,58.2,1509 Rice
Alluvial soil,Jun,Sep,irrigated,7.9,25.7,93.3,52.8,45.5,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.4,35.0,83.9,42.7,50.2,IRRI-6
Clay soil,Jun,Sep,irrigated,7.6,36.1,97.4,43.3,50.4,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.4,35.7,80.5,54.3,49.1,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.9,38.7,91.8,41.4,45.9,IRRI-6
Clay soil,Jul,Oct,rainfed,6.0,38.1,87.9,58.5,58.2,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.1,31.8,94.3,40.0,48.3,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.5,21.4,86.2,59.7,45.2,Basmati
Clay soil,Jun,Sep,irrigated,6.1,26.5,87.2,59.6,53.3,Super Basmati
Alluvial soil,Jul,Oct,rainfed,5.1,39.1,81.3,59.2,55.7,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.5,28.8,92.5,44.7,43.1,Kainat-1121
Clay soil,Jul,Oct,rainfed,6.6,34.0,80.5,57.3,51.4,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.4,33.1,82.1,40.9,50.0,Basmati
Loamy soil,Jul,Oct,rainfed,5.9,39.5,89.1,40.2,47.1,IRRI-6
Clay soil,Jun,Sep,irrigated,7.2,26.7,86.6,40.1,53.9,1509 Rice
Alluvial soil,Jul,Oct,rainfed,7.4,38.1,96.6,54.9,58.1,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.7,26.8,81.5,58.8,51.2,Super Basmati
Clay soil,Jul,Oct,rainfed,6.4,29.4,89.6,57.1,48.8,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.9,34.3,92.2,56.9,45.4,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.8,22.2,92.5,50.1,51.9,1509 Rice
Clay soil,Jun,Sep,irrigated,7.7,24.4,97.3,57.5,59.4,Kainat-1121
Alluvial soil,Jul,Oct,rainfed,5.7,33.3,83.3,53.0,41.4,IRRI-6
Loamy soil,Jun,Sep,irrigated,5.3,25.0,94.5,58.5,55.5,Super Basmati
Clay soil,Jul,Oct,rainfed,7.3,25.4,80.2,45.6,49.8,Basmati
Alluvial soil,Jun,Sep,irrigated,6.3,21.4,94.1,40.6,52.4,Kainat-1121
Loamy soil,Jul,Oct,rainfed,6.1,31.1,82.4,43.4,50.2,Basmati
Clay soil,Jun,Sep,irrigated,6.4,25.6,94.2,40.5,41.1,Basmati
Alluvial soil,Jul,Oct,rainfed,6.7,33.9,83.4,51.1,47.2,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.8,37.3,90.8,43.7,47.6,IRRI-6
Clay soil,Jul,Oct,rainfed,7.4,30.3,83.4,49.8,41.4,1509 Rice
Alluvial soil,Jun,Sep,irrigated,5.9,25.7,88.0,58.1,55.4,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.3,28.3,83.7,55.8,50.0,Super Basmati
Clay soil,Jun,Sep,irrigated,6.6,39.4,88.4,48.0,46.9,IRRI-6
Alluvial soil,Jul,Oct,rainfed,8.0,23.5,97.1,49.2,53.2,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.9,30.7,94.1,50.3,45.3,Kainat-1121
Clay soil,Jul,Oct,rainfed,5.1,22.6,86.7,51.4,43.6,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.0,25.8,82.1,48.5,49.9,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.0,31.7,89.5,47.8,40.2,1509 Rice
Clay soil,Jun,Sep,irrigated,6.1,22.7,89.0,47.6,49.2,Basmati
Alluvial soil,Jul,Oct,rainfed,5.4,37.1,91.5,52.4,57.7,1509 Rice
Loamy soil,Jun,Sep,irrigated,6.9,23.1,87.3,41.1,41.7,Basmati
Clay soil,Jul,Oct,rainfed,6.6,26.6,88.4,50.4,48.2,Super Basmati
Alluvial soil,Jun,Sep,irrigated,5.4,32.7,95.0,48.4,55.7,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.1,23.8,98.6,59.4,47.6,Kainat-1121
Clay soil,Jun,Sep,irrigated,5.3,39.7,97.4,45.6,42.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.8,34.5,90.4,49.5,42.4,IRRI-6
Loamy soil,Jun,Sep,irrigated,6.5,33.0,81.8,49.8,44.5,Basmati
Clay soil,Jul,Oct,rainfed,6.8,29.3,86.2,59.8,51.8,Super Basmati
Alluvial soil,Jun,Sep,irrigated,7.0,33.2,82.7,49.2,44.2,1509 Rice
Loamy soil,Jul,Oct,rainfed,5.8,32.8,89.1,55.8,59.4,1509 Rice
Clay soil,Jun,Sep,irrigated,7.9,21.5,90.7,58.3,48.6,Super Basmati
Alluvial soil,Jul,Oct,rainfed,6.1,29.1,83.2,56.0,52.8,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.7,27.0,91.7,57.2,45.7,Super Basmati
Clay soil,Jul,Oct,rainfed,6.2,28.9,90.1,52.9,43.3,Super Basmati
Alluvial soil,Jun,Sep,irrigated,5.7,36.1,90.4,49.6,46.4,IRRI-6
Loamy soil,Jul,Oct,rainfed,6.1,37.8,88.5,52.4,44.5,IRRI-6
Clay soil,Jun,Sep,irrigated,7.0,31.9,99.6,40.3,40.4,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.8,24.0,84.1,49.3,53.6,Basmati
Loamy soil,Jun,Sep,irrigated,7.4,38.6,92.0,47.3,48.7,Kainat-1121
Clay soil,Jul,Oct,rainfed,6.2,21.4,82.5,59.1,42.4,Basmati
Alluvial soil,Jun,Sep,irrigated,5.4,35.6,97.8,53.5,47.5,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.6,28.3,83.4,48.0,55.4,1509 Rice
Clay soil,Jun,Sep,irrigated,6.1,30.1,84.0,50.9,59.7,1509 Rice
Alluvial soil,Jul,Oct,rainfed,5.6,21.2,82.0,42.1,59.7,Basmati
Loamy soil,Jun,Sep,irrigated,7.7,30.3,90.4,58.8,55.1,1509 Rice
Clay soil,Jul,Oct,rainfed,6.2,25.7,81.0,50.1,59.4,Basmati
Alluvial soil,Jun,Sep,irrigated,5.0,29.5,91.5,41.2,54.9,1509 Rice
Loamy soil,Jul,Oct,rainfed,7.8,29.4,90.3,51.4,45.1,Super Basmati
Clay soil,Jun,Sep,irrigated,5.8,25.3,82.3,54.0,47.1,Basmati
Alluvial soil,Jul,Oct,rainfed,5.2,21.2,86.8,40.7,41.3,Basmati
Loamy soil,Jun,Sep,irrigated,7.7,39.5,97.5,59.3,52.7,Kainat-1121
Clay soil,Jul,Oct,rainfed,7.4,23.9,84.1,49.8,59.5,1509 Rice
Alluvial soil,Jun,Sep,irrigated,6.7,36.5,87.1,52.6,53.7,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.4,25.2,87.9,41.8,51.5,Basmati
Clay soil,Jun,Sep,irrigated,7.5,21.2,83.5,56.4,50.6,Super Basmati
Alluvial soil,Jul,Oct,rainfed,5.7,24.0,92.0,43.4,49.8,Basmati
Loamy soil,Jun,Sep,irrigated,6.5,29.2,87.8,43.0,52.5,1509 Rice
Clay soil,Jul,Oct,rainfed,7.5,26.3,99.4,53.7,58.4,Kainat-1121
Alluvial soil,Jun,Sep,irrigated,7.2,28.9,98.4,42.0,55.0,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.8,28.7,85.3,51.8,50.3,Super Basmati
Clay soil,Jun,Sep,irrigated,5.1,29.9,83.8,44.4,45.8,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.8,29.4,89.9,54.2,49.6,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.0,27.7,86.8,40.6,50.5,Basmati
Clay soil,Jul,Oct,rainfed,5.0,28.4,87.0,45.3,55.8,1509 Rice
Alluvial soil,Jun,Sep,irrigated,6.4,33.1,92.7,45.5,40.1,1509 Rice
Loamy soil,Jul,Oct,rainfed,5.4,22.1,98.3,53.0,41.8,Basmati
Clay soil,Jun,Sep,irrigated,6.7,39.2,85.0,55.8,54.4,Super Basmati
Alluvial soil,Jul,Oct,rainfed,6.6,34.1,81.5,42.9,40.5,IRRI-6
Loamy soil,Jun,Sep,irrigated,5.7,26.7,87.9,55.4,54.8,Super Basmati
Clay soil,Jul,Oct,rainfed,7.4,31.9,88.8,55.3,47.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.9,26.6,87.8,41.8,46.5,Basmati
Loamy soil,Jul,Oct,rainfed,7.9,30.9,83.3,44.6,46.8,Basmati
Clay soil,Jun,Sep,irrigated,6.7,32.6,96.6,46.2,57.3,1509 Rice
Alluvial soil,Jul,Oct,rainfed,7.6,22.8,86.1,53.7,59.6,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.3,37.6,83.2,58.4,40.5,Basmati
Clay soil,Jul,Oct,rainfed,5.2,30.8,85.9,44.0,57.0,1509 Rice
Alluvial soil,Jun,Sep,irrigated,5.7,26.3,93.2,53.0,41.3,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.8,30.8,98.2,48.0,58.5,1509 Rice
Clay soil,Jun,Sep,irrigated,6.8,30.6,85.4,44.0,54.0,1509 Rice
Alluvial soil,Jul,Oct,rainfed,6.9,28.7,96.1,46.0,57.5,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.9,33.1,86.1,56.9,43.6,IRRI-6
Clay soil,Jul,Oct,rainfed,6.3,26.9,95.0,42.6,46.3,Kainat-1121
Alluvial soil,Jun,Sep,irrigated,7.0,31.0,93.5,48.5,50.1,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.1,24.3,97.3,55.0,54.6,Kainat-1121
Clay soil,Jun,Sep,irrigated,6.2,24.3,88.4,50.3,54.2,Super Basmati
Alluvial soil,Jul,Oct,rainfed,6.6,26.5,88.4,53.5,56.1,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.5,24.5,80.3,48.9,43.4,Basmati
Clay soil,Jul,Oct,rainfed,6.4,39.9,97.8,44.9,46.8,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.1,39.8,91.1,42.9,58.7,IRRI-6
Loamy soil,Jul,Oct,rainfed,6.2,21.0,84.8,50.2,57.4,Basmati
Clay soil,Jun,Sep,irrigated,5.2,32.5,85.0,45.1,58.0,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.5,27.0,85.6,58.0,44.9,Super Basmati
Loamy soil,Jun,Sep,irrigated,8.0,36.6,83.9,54.6,42.5,IRRI-6
Clay soil,Jul,Oct,rainfed,6.1,36.7,88.4,49.2,59.7,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.4,21.3,81.5,53.2,54.2,Super Basmati
Loamy soil,Jul,Oct,rainfed,6.6,35.6,92.5,51.4,41.6,1509 Rice
Clay soil,Jun,Sep,irrigated,6.7,27.6,84.2,55.1,40.7,Super Basmati
Alluvial soil,Jul,Oct,rainfed,5.6,31.5,94.5,44.6,48.4,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.8,39.4,86.6,57.6,43.0,IRRI-6
Clay soil,Jul,Oct,rainfed,6.3,22.1,87.6,52.6,55.7,Super Basmati
Alluvial soil,Jun,Sep,irrigated,5.8,34.7,97.2,48.8,54.2,1509 Rice
Loamy soil,Jul,Oct,rainfed,5.2,27.9,99.2,51.9,58.8,1509 Rice
Clay soil,Jun,Sep,irrigated,6.5,34.2,92.1,59.0,52.1,Super Basmati
Alluvial soil,Jul,Oct,rainfed,6.3,30.2,95.2,50.9,44.6,Kainat-1121
Loamy soil,Jun,Sep,irrigated,6.0,37.9,82.5,45.6,54.6,IRRI-6
Clay soil,Jul,Oct,rainfed,6.4,28.8,87.7,53.0,50.1,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.6,23.0,88.3,55.0,59.0,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.0,20.6,89.8,57.8,59.7,1509 Rice
Clay soil,Jun,Sep,irrigated,5.2,36.4,96.9,49.6,56.4,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.5,39.3,95.9,58.3,41.1,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.2,33.9,87.1,40.8,45.2,IRRI-6
Clay soil,Jul,Oct,rainfed,5.6,29.2,98.9,43.0,45.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.9,26.2,92.3,59.5,59.6,Super Basmati
Loamy soil,Jul,Oct,rainfed,6.7,35.1,95.1,53.5,50.3,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.5,37.1,97.2,46.2,43.4,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.9,38.5,88.8,49.4,42.2,IRRI-6
Loamy soil,Jun,Sep,irrigated,7.9,32.1,88.7,44.9,56.0,1509 Rice
Clay soil,Jul,Oct,rainfed,7.7,36.3,84.7,52.7,51.1,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.2,28.8,82.3,51.5,48.1,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.4,20.5,97.2,56.7,52.7,Kainat-1121
Clay soil,Jun,Sep,irrigated,7.6,25.6,87.6,56.2,54.1,Super Basmati
Alluvial soil,Jul,Oct,rainfed,6.5,35.1,81.6,41.9,58.0,1509 Rice
Loamy soil,Jun,Sep,irrigated,6.0,20.6,83.5,53.5,43.6,Basmati
Clay soil,Jul,Oct,rainfed,7.8,23.2,90.1,53.8,55.0,Super Basmati
Alluvial soil,Jun,Sep,irrigated,6.1,29.4,92.8,45.8,43.7,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.0,25.3,85.4,43.3,59.5,Basmati
Clay soil,Jun,Sep,irrigated,7.6,37.5,85.8,48.5,45.1,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.9,22.8,99.2,58.1,42.4,Kainat-1121
Loamy soil,Jun,Sep,irrigated,6.3,22.1,91.4,53.5,54.9,Super Basmati
Clay soil,Jul,Oct,rainfed,6.1,29.0,89.8,44.5,46.4,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.1,36.2,96.9,41.5,46.1,IRRI-6
Loamy soil,Jul,Oct,rainfed,5.3,27.6,84.9,59.2,41.4,Super Basmati
Clay soil,Jun,Sep,irrigated,8.0,37.1,97.0,57.9,51.3,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.8,25.7,93.7,46.3,52.6,Kainat-1121
Loamy soil,Jun,Sep,irrigated,6.1,24.7,96.7,44.2,40.2,Basmati
Clay soil,Jul,Oct,rainfed,5.4,33.6,94.8,50.4,57.0,IRRI-6
Alluvial soil,Jun,Sep,irrigated,7.7,30.2,80.1,54.4,59.6,Super Basmati
Loamy soil,Jul,Oct,rainfed,6.7,35.2,85.6,48.1,55.6,1509 Rice
Clay soil,Jun,Sep,irrigated,6.4,33.5,81.6,55.4,57.9,1509 Rice
Alluvial soil,Jul,Oct,rainfed,7.8,34.5,81.6,53.9,48.1,Super Basmati
Loamy soil,Jun,Sep,irrigated,6.3,38.2,86.0,57.4,51.4,Super Basmati
Clay soil,Jul,Oct,rainfed,5.2,22.0,97.4,42.4,52.2,IRRI-6
Alluvial soil,Jun,Sep,irrigated,6.5,29.6,81.5,47.0,46.7,Kainat-1121
Loamy soil,Jul,Oct,rainfed,7.8,38.9,98.6,56.4,55.4,1509 Rice
Clay soil,Jun,Sep,irrigated,5.3,20.6,92.2,46.0,55.9,1509 Rice
Alluvial soil,Jul,Oct,rainfed,5.2,37.0,97.7,49.1,41.3,IRRI-6
Loamy soil,Jun,Sep,irrigated,7.3,27.7,94.5,59.9,40.8,Kainat-1121
Clay soil,Jul,Oct,rainfed,8.0,26.8,91.5,47.5,59.2,1509 Rice
Alluvial soil,Jun,Sep,irrigated,7.4,26.0,98.0,41.0,47.3,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.6,27.7,84.2,40.8,57.4,1509 Rice
Clay soil,Jun,Sep,irrigated,5.7,37.2,88.3,56.4,49.7,IRRI-6
Alluvial soil,Jul,Oct,rainfed,7.5,38.5,81.6,47.7,50.8,IRRI-6
Loamy soil,Jun,Sep,irrigated,7.7,33.9,88.9,59.0,49.7,Super Basmati
Clay soil,Jul,Oct,rainfed,7.7,27.7,86.9,52.4,40.5,Super Basmati
Alluvial soil,Jun,Sep,irrigated,7.2,30.4,85.5,44.7,46.0,Kainat-1121
