soil_type,sowing_month,harvest_month,water_source,soil_ph,temperature,nitrogen_N,phosphorus_P,potassium_K,seed_variety
Alluvial soil,Jun,Sep,irrigated,8.0,27.0,115.9,48.7,48.5,Cyto-24
Black Soil,Jul,Oct,rainfed,7.5,26.0,116.1,43.1,51.6,Cyto-24
Red soil,Jun,Sep,irrigated,7.5,24.8,97.7,44.1,50.4,FH-333
Alluvial soil,Jul,Oct,rainfed,7.2,25.0,117.6,53.0,40.2,FH-333
Black Soil,Jun,Sep,irrigated,7.7,21.1,98.1,41.6,58.7,Cyto-24
Red soil,Jul,Oct,rainfed,7.5,25.5,80.0,50.1,47.0,BS-352
Alluvial soil,Jun,Sep,irrigated,8.0,21.0,80.9,53.5,48.1,FH-333
Black Soil,Jul,Oct,rainfed,8.0,22.8,95.9,49.8,52.0,FH-333
Red soil,Jun,Sep,irrigated,7.8,24.2,111.6,59.3,44.1,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.2,28.7,86.4,54.5,51.0,FH-MR2
Black Soil,Jun,Sep,irrigated,7.5,25.5,95.3,58.6,48.9,FH-MR2
Red soil,Jul,Oct,rainfed,7.5,27.3,110.8,50.6,54.7,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.0,26.7,116.5,41.1,47.9,Cyto-24
Black Soil,Jul,Oct,rainfed,7.2,22.1,89.0,54.4,41.2,FH-333
Red soil,Jun,Sep,irrigated,7.3,28.9,88.4,49.4,48.2,BS-352
Alluvial soil,Jul,Oct,rainfed,7.3,25.5,92.9,43.5,49.3,FH-333
Black Soil,Jun,Sep,irrigated,7.0,29.5,116.2,48.5,43.2,Cyto-24
Red soil,Jul,Oct,rainfed,7.7,29.4,99.4,54.6,44.6,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.0,24.2,85.0,51.7,42.3,BS-352
Black Soil,Jul,Oct,rainfed,7.1,24.4,96.5,49.9,50.9,FH-333
Red soil,Jun,Sep,irrigated,7.3,21.7,92.7,52.3,45.6,FH-333
Alluvial soil,Jul,Oct,rainfed,7.3,23.8,91.6,58.9,49.3,FH-333
Black Soil,Jun,Sep,irrigated,7.9,24.6,119.7,53.2,48.5,Cyto-24
Red soil,Jul,Oct,rainfed,7.7,23.0,82.8,52.9,42.1,BS-352
Alluvial soil,Jun,Sep,irrigated,7.9,21.0,109.2,49.3,48.3,FH-333
Black Soil,Jul,Oct,rainfed,7.9,21.4,90.3,52.3,43.2,FH-333
Red soil,Jun,Sep,irrigated,7.1,24.4,115.0,50.6,53.1,FH-333
Alluvial soil,Jul,Oct,rainfed,7.7,29.3,114.8,41.5,55.9,Cyto-24
Black Soil,Jun,Sep,irrigated,7.8,29.6,82.9,58.2,54.4,FH-1148
Red soil,Jul,Oct,rainfed,7.5,24.5,94.5,58.4,51.3,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.8,27.5,93.4,55.7,41.2,FH-MR2
Black Soil,Jul,Oct,rainfed,7.6,25.9,119.7,51.9,58.7,Cyto-24
Red soil,Jun,Sep,irrigated,7.3,27.9,83.6,41.7,51.9,BS-352
Alluvial soil,Jul,Oct,rainfed,7.7,27.7,102.1,52.3,50.4,FH-1148
Black Soil,Jun,Sep,irrigated,7.3,25.1,80.6,50.4,47.2,BS-352
Red soil,Jul,Oct,rainfed,7.9,26.9,94.6,46.2,43.7,BS-352
Alluvial soil,Jun,Sep,irrigated,7.8,25.4,90.9,44.6,57.5,FH-333
Black Soil,Jul,Oct,rainfed,7.1,28.2,87.2,58.3,50.4,FH-MR2
Red soil,Jun,Sep,irrigated,7.6,21.3,86.1,51.2,42.4,BS-352
Alluvial soil,Jul,Oct,rainfed,7.0,28.0,84.1,49.5,46.0,BS-352
Black Soil,Jun,Sep,irrigated,7.1,23.5,97.7,52.5,45.3,FH-333
Red soil,Jul,Oct,rainfed,7.4,27.2,80.7,57.7,44.9,BS-352
Alluvial soil,Jun,Sep,irrigated,7.6,22.0,117.8,52.3,46.0,FH-333
Black Soil,Jul,Oct,rainfed,7.0,21.4,118.9,46.4,42.4,FH-333
Red soil,Jun,Sep,irrigated,7.0,27.5,92.5,50.7,58.1,BS-352
Alluvial soil,Jul,Oct,rainfed,7.1,27.4,98.8,46.9,44.1,BS-352
Black Soil,Jun,Sep,irrigated,7.4,28.9,119.3,57.6,42.0,Cyto-24
Red soil,Jul,Oct,rainfed,7.5,22.2,117.1,44.9,57.3,FH-333
Alluvial soil,Jun,Sep,irrigated,7.9,28.9,95.6,45.0,42.9,FH-1148
Black Soil,Jul,Oct,rainfed,7.3,24.4,103.0,41.1,40.7,BS-352
Red soil,Jun,Sep,irrigated,7.6,21.5,114.4,53.4,57.3,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.5,29.6,97.9,58.7,49.1,FH-MR2
Black Soil,Jun,Sep,irrigated,7.0,28.5,102.7,54.1,47.5,FH-1148
Red soil,Jul,Oct,rainfed,7.8,29.7,117.3,47.8,43.4,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.1,27.0,117.0,43.7,52.4,Cyto-24
Black Soil,Jul,Oct,rainfed,7.9,27.1,100.3,44.4,44.4,FH-1148
Red soil,Jun,Sep,irrigated,7.1,27.9,105.5,46.6,47.5,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.4,21.2,116.3,51.6,57.1,Cyto-24
Black Soil,Jun,Sep,irrigated,8.0,28.9,105.6,44.6,54.8,FH-1148
Red soil,Jul,Oct,rainfed,7.3,22.5,118.0,52.0,49.0,FH-333
Alluvial soil,Jun,Sep,irrigated,7.4,26.7,99.3,50.7,44.3,FH-MR2
Black Soil,Jul,Oct,rainfed,7.3,29.5,90.7,57.6,50.8,FH-MR2
Red soil,Jun,Sep,irrigated,7.7,23.0,114.0,52.4,55.2,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.7,29.3,82.4,59.8,42.5,BS-352
Black Soil,Jun,Sep,irrigated,7.2,27.4,91.6,50.4,41.5,BS-352
Red soil,Jul,Oct,rainfed,7.1,25.8,116.5,40.1,45.9,BS-352
Alluvial soil,Jun,Sep,irrigated,7.9,25.4,108.9,41.7,45.2,BS-352
Black Soil,Jul,Oct,rainfed,7.8,25.6,95.7,49.0,54.4,FH-1148
Red soil,Jun,Sep,irrigated,7.2,24.3,109.4,44.1,56.1,BS-352
Alluvial soil,Jul,Oct,rainfed,7.4,25.6,97.9,41.3,57.5,FH-MR2
Black Soil,Jun,Sep,irrigated,7.9,25.3,91.0,45.5,59.2,Cyto-24
Red soil,Jul,Oct,rainfed,7.3,22.0,119.5,56.6,49.8,FH-333
Alluvial soil,Jun,Sep,irrigated,7.6,23.0,118.2,46.0,43.6,FH-333
Black Soil,Jul,Oct,rainfed,7.2,23.1,108.5,48.3,49.4,FH-333
Red soil,Jun,Sep,irrigated,8.0,24.2,119.0,45.9,55.6,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.3,24.1,95.2,42.9,43.3,FH-333
Black Soil,Jun,Sep,irrigated,7.1,24.4,81.0,51.6,45.6,BS-352
Red soil,Jul,Oct,rainfed,7.2,23.0,96.3,41.6,43.3,BS-352
Alluvial soil,Jun,Sep,irrigated,7.3,28.7,113.3,58.6,48.3,FH-MR2
Black Soil,Jul,Oct,rainfed,7.4,23.9,103.3,55.4,55.9,FH-MR2
Red soil,Jun,Sep,irrigated,7.0,26.3,92.8,58.3,46.5,BS-352
Alluvial soil,Jul,Oct,rainfed,7.8,22.9,84.4,54.1,45.3,FH-333
Black Soil,Jun,Sep,irrigated,7.6,26.5,94.6,43.8,52.5,FH-1148
Red soil,Jul,Oct,rainfed,7.4,29.2,119.1,59.8,51.7,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.3,23.2,107.7,50.5,45.4,FH-333
Black Soil,Jul,Oct,rainfed,7.8,24.0,82.0,40.0,58.9,Cyto-24
Red soil,Jun,Sep,irrigated,7.0,27.8,106.1,41.1,58.4,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.4,29.0,98.6,43.8,52.4,FH-1148
Black Soil,Jun,Sep,irrigated,7.9,25.3,103.1,46.7,52.8,FH-1148
Red soil,Jul,Oct,rainfed,7.7,21.7,82.6,54.8,41.7,BS-352
Alluvial soil,Jun,Sep,irrigated,7.5,25.2,105.2,50.8,40.4,FH-MR2
Black Soil,Jul,Oct,rainfed,7.1,28.2,97.4,44.0,51.5,FH-1148
Red soil,Jun,Sep,irrigated,7.9,29.3,112.2,47.5,41.1,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.2,27.9,104.3,53.9,46.9,FH-MR2
Black Soil,Jun,Sep,irrigated,7.7,21.6,94.1,45.8,49.7,FH-333
Red soil,Jul,Oct,rainfed,7.6,23.4,84.4,58.5,51.6,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.3,27.0,99.0,52.6,53.9,FH-MR2
Black Soil,Jul,Oct,rainfed,7.7,29.7,107.7,49.5,45.3,FH-1148
Red soil,Jun,Sep,irrigated,7.3,24.9,112.1,45.1,52.0,FH-333
Alluvial soil,Jul,Oct,rainfed,7.8,21.3,95.0,53.9,51.5,FH-333
Black Soil,Jun,Sep,irrigated,7.7,23.5,108.7,58.6,53.8,FH-MR2
Red soil,Jul,Oct,rainfed,7.2,29.2,99.7,54.7,56.0,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.2,28.7,94.9,47.0,48.7,FH-333
Black Soil,Jul,Oct,rainfed,8.0,21.0,87.7,58.0,56.9,Cyto-24
Red soil,Jun,Sep,irrigated,7.9,21.3,109.9,56.7,58.6,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.2,24.9,96.2,58.1,44.1,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,24.6,118.9,48.4,50.3,FH-333
Red soil,Jul,Oct,rainfed,7.9,26.4,82.9,53.8,58.1,Cyto-24
Alluvial soil,Jun,Sep,irrigated,7.2,26.9,91.2,49.4,47.8,BS-352
Black Soil,Jul,Oct,rainfed,7.1,29.6,90.1,42.0,41.7,BS-352
Red soil,Jun,Sep,irrigated,7.2,24.4,103.2,58.9,51.6,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.5,24.5,105.3,43.9,53.6,FH-MR2
Black Soil,Jun,Sep,irrigated,7.4,22.7,104.9,57.4,45.2,FH-MR2
Red soil,Jul,Oct,rainfed,7.2,29.0,83.9,52.9,53.5,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.8,25.2,119.5,56.2,53.4,FH-MR2
Black Soil,Jul,Oct,rainfed,7.6,23.9,101.9,54.4,58.6,FH-MR2
Red soil,Jun,Sep,irrigated,7.6,28.1,89.0,50.2,52.1,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.4,25.0,85.5,45.1,40.4,BS-352
Black Soil,Jun,Sep,irrigated,7.2,24.9,81.9,49.8,55.8,BS-352
Red soil,Jul,Oct,rainfed,7.7,21.4,94.0,55.3,47.3,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.1,24.1,91.7,49.5,48.0,FH-333
Black Soil,Jul,Oct,rainfed,7.8,23.5,112.2,40.0,57.7,Cyto-24
Red soil,Jun,Sep,irrigated,7.5,26.9,103.1,50.9,50.7,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.2,26.0,117.1,59.0,51.3,FH-MR2
Black Soil,Jun,Sep,irrigated,8.0,28.1,117.7,41.7,46.8,Cyto-24
Red soil,Jul,Oct,rainfed,7.7,21.2,103.7,56.6,49.8,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.8,26.0,103.4,53.4,40.9,FH-MR2
Black Soil,Jul,Oct,rainfed,7.3,27.1,88.9,52.1,44.6,BS-352
Red soil,Jun,Sep,irrigated,7.3,27.8,83.0,41.7,49.4,BS-352
Alluvial soil,Jul,Oct,rainfed,7.7,28.8,80.3,48.3,58.1,FH-1148
Black Soil,Jun,Sep,irrigated,7.2,29.8,112.9,48.8,49.3,Cyto-24
Red soil,Jul,Oct,rainfed,7.2,23.3,111.3,52.5,56.7,FH-333
Alluvial soil,Jun,Sep,irrigated,7.1,21.3,106.3,40.7,41.9,FH-333
Black Soil,Jul,Oct,rainfed,7.1,22.6,105.4,56.1,50.3,FH-333
Red soil,Jun,Sep,irrigated,7.1,28.5,107.5,51.8,48.5,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.3,29.4,92.5,51.7,45.9,FH-333
Black Soil,Jun,Sep,irrigated,7.0,24.3,99.3,46.0,42.3,FH-333
Red soil,Jul,Oct,rainfed,7.7,29.2,101.7,55.4,58.6,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.0,24.4,86.9,42.5,45.2,BS-352
Black Soil,Jul,Oct,rainfed,7.1,28.6,99.0,57.6,43.1,FH-MR2
Red soil,Jun,Sep,irrigated,7.5,25.3,84.1,54.4,53.3,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.0,21.2,84.6,57.0,42.4,BS-352
Black Soil,Jun,Sep,irrigated,7.2,21.1,81.5,58.3,51.4,FH-MR2
Red soil,Jul,Oct,rainfed,7.5,25.4,101.7,40.1,55.3,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.4,21.7,83.7,48.6,59.0,FH-333
Black Soil,Jul,Oct,rainfed,7.5,23.6,114.4,53.3,52.9,Cyto-24
Red soil,Jun,Sep,irrigated,7.0,29.1,90.1,58.1,54.1,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.8,29.3,98.7,52.8,49.4,FH-1148
Black Soil,Jun,Sep,irrigated,7.7,24.6,94.0,58.5,47.0,FH-MR2
Red soil,Jul,Oct,rainfed,7.8,22.8,91.6,58.0,51.4,FH-333
Alluvial soil,Jun,Sep,irrigated,7.9,28.9,92.9,52.5,51.9,FH-1148
Black Soil,Jul,Oct,rainfed,7.4,24.2,87.1,58.6,57.0,FH-MR2
Red soil,Jun,Sep,irrigated,7.1,28.9,100.8,48.4,52.0,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.7,25.4,116.9,41.7,51.0,Cyto-24
Black Soil,Jun,Sep,irrigated,7.4,25.5,114.4,52.4,45.8,Cyto-24
Red soil,Jul,Oct,rainfed,7.7,29.3,109.0,51.0,40.2,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.2,26.0,99.1,50.8,53.8,FH-MR2
Black Soil,Jul,Oct,rainfed,7.9,23.8,97.8,52.6,52.9,FH-1148
Red soil,Jun,Sep,irrigated,7.9,25.5,97.2,48.3,51.6,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.5,25.7,109.9,59.7,48.3,FH-MR2
Black Soil,Jun,Sep,irrigated,7.8,29.8,80.8,51.7,59.0,Cyto-24
Red soil,Jul,Oct,rainfed,7.7,26.3,87.5,53.1,48.5,FH-MR2
Alluvial soil,Jun,Sep,irrigated,7.6,27.8,116.5,48.7,55.7,Cyto-24
Black Soil,Jul,Oct,rainfed,7.0,27.9,112.3,54.7,41.5,Cyto-24
Red soil,Jun,Sep,irrigated,7.8,24.9,119.9,50.5,50.2,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.7,25.7,115.5,48.1,44.2,Cyto-24
Black Soil,Jun,Sep,irrigated,7.9,24.2,95.2,54.4,43.2,FH-333
Red soil,Jul,Oct,rainfed,7.1,24.7,86.6,55.0,53.2,BS-352
Alluvial soil,Jun,Sep,irrigated,7.5,27.0,80.1,56.6,52.8,FH-MR2
Black Soil,Jul,Oct,rainfed,7.5,24.4,111.3,57.1,58.4,Cyto-24
Red soil,Jun,Sep,irrigated,7.6,29.9,113.0,41.3,54.3,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.5,22.0,107.8,49.2,42.2,FH-333
Black Soil,Jun,Sep,irrigated,7.4,27.6,81.4,42.8,56.2,Cyto-24
Red soil,Jul,Oct,rainfed,7.7,28.7,114.4,45.1,51.8,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.4,21.2,101.6,50.4,58.7,FH-333
Black Soil,Jul,Oct,rainfed,7.3,23.5,95.7,50.0,46.6,FH-333
Red soil,Jun,Sep,irrigated,7.1,25.8,115.2,43.0,59.7,BS-352
Alluvial soil,Jul,Oct,rainfed,7.5,27.7,107.0,50.8,59.5,FH-1148
Black Soil,Jun,Sep,irrigated,8.0,28.1,110.8,45.4,55.3,Cyto-24
Red soil,Jul,Oct,rainfed,7.8,22.4,105.1,58.4,48.5,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.7,26.2,102.9,55.8,59.5,FH-MR2
Black Soil,Jul,Oct,rainfed,7.2,28.1,85.8,41.9,54.4,BS-352
Red soil,Jun,Sep,irrigated,8.0,22.0,94.3,47.7,41.9,BS-352
Alluvial soil,Jul,Oct,rainfed,7.5,21.7,111.1,58.8,57.2,FH-MR2
